code,group,date,age,province,country,s1_1,s1_2,s1_3,s1_4,s1_5,s1_6,s1_7,s1_8,s1_9,s1_10,pre1,pre2,pre3,pre4,pre5,pre6,pre7,pre8,pre9,pre10,pre1Grade,pre2Grade,pre3Grade,pre4Grade,pre5Grade,pre6Grade,pre7Grade,pre8Grade,pre9Grade,pre10Grade,preGrades,post1,post2,post3,post4,post5,post6,post7,post8,post9,post10,post1grade,post2grade,post3grade,post4grade,post5grade,post6grade,post7grade,post8grade,post9grade,post10grade,postGrades,s2_1,s2_2,s2_3,s2_4,s2_5,s2_6,s2_7,s2_8,s2_9,s2_10,s2_11,s2_12,s2_13,s2_14,s2_15,s2_16,s2_17,s2_18,s2_19,s2_20,translated
MU3Sec136,Experiment,18-Aug-23,19,Nonthaburi,Thailand,4,4,4,4,4,4,4,4,4,4,A,A,A,A,B,D,B,B,A,C,0,0,1,0,1,1,1,0,0,0,4,C,B,C,A,A,C,A,B,B,C,0,0,0,1,0,0,1,0,1,0,3,1,3,1,5,5,3,5,3,2,1,2,1,6,,Yes,No,,,,,
MU3Sec137,Control,18-Aug-23,19,Nakorn Pathom,Thailand,4,4,3,3,4,4,4,3,4,4,A,C,A,D,D,B,B,A,D,B,0,1,1,1,0,0,1,1,0,1,6,B,C,D,A,C,B,A,B,C,A,0,0,0,0,0,0,0,1,0,0,1,4,5,1,3,2,3,2,2,4,1,2,4,2,,Yes,Yes,,,,,
MU3Sec139,Control,18-Aug-23,19,Nonthaburi,Thailand,4,4,3,4,5,4,4,4,4,5,D,C,C,D,A,B,B,B,A,B,1,1,0,1,0,0,1,0,0,1,5,D,C,B,C,B,C,C,D,A,D,1,1,1,1,0,0,0,1,0,1,6,4,2,3,1,1,3,3,1,3,1,2,1,2,,Yes,Yes,,,,,
MU3Sec140,Experiment,18-Aug-23,18,Bangkok,Thailand,4,4,4,4,5,4,4,4,5,4,D,C,A,C,B,B,B,A,A,D,1,1,1,0,1,0,1,1,0,0,6,D,A,A,A,C,C,B,A,A,C,0,1,0,0,0,0,0,0,0,1,2,5,4,3,3,3,1,2,3,1,1,2,3,6,,No,No,,,,,
MU3Sec141,Control,18-Aug-23,19,Nakorn Pathom,Thailand,4,4,4,4,4,4,3,4,3,4,D,D,B,D,A,D,B,C,B,D,1,0,0,1,0,1,1,0,1,0,5,D,D,B,A,C,D,C,A,D,C,1,0,0,0,1,1,0,0,1,0,4,4,3,5,2,2,5,2,3,2,1,2,3,3,,No,Yes,,,,,
MU3Sec142,Experiment,18-Aug-23,19,Bangkok,Thailand,3,4,4,4,3,4,4,4,4,4,A,D,C,C,B,B,B,A,A,B,0,0,0,0,1,0,1,1,0,1,4,A,D,C,D,C,A,D,A,D,A,0,0,1,1,1,0,1,0,0,1,5,5,1,5,3,1,4,5,2,4,1,2,2,4,,No,No,,,,,
MU3Sec143,Control,18-Aug-23,18,Bangkok,Thailand,5,5,4,4,5,5,4,5,5,5,A,D,B,C,A,B,B,A,A,B,0,0,0,0,0,0,1,1,0,1,3,D,B,B,D,D,C,D,C,B,B,0,0,1,0,1,0,0,0,1,0,3,3,1,2,4,1,4,1,5,5,1,2,2,7,,No,No,,,,,
MU3Sec144,Experiment,18-Aug-23,18,Bangkok,Thailand,4,3,4,4,3,4,3,3,4,4,C,B,A,D,A,B,B,C,C,B,0,0,1,1,0,0,1,0,0,1,4,B,A,C,B,B,D,A,D,C,C,0,1,1,1,1,1,0,1,1,1,8,3,1,4,2,1,1,2,5,2,1,2,1,7,,Yes,No,,,,,
MU3Sec145,Control,18-Aug-23,19,Nonthaburi,Thailand,4,4,3,4,4,3,4,4,3,4,B,C,C,D,A,A,A,C,A,C,0,1,0,1,0,0,0,0,0,0,2,A,B,D,C,B,D,A,B,D,D,1,1,1,0,0,0,1,0,0,1,5,3,4,1,5,4,1,1,3,1,1,2,2,7,,No,Yes,,,,,
MU3Sec146,Experiment,18-Aug-23,,,Thailand,4,5,5,5,5,5,5,5,5,5,C,B,C,C,A,B,C,B,C,C,0,0,0,0,0,0,0,0,0,0,0,C,C,B,A,B,A,D,A,B,D,0,1,0,0,0,0,1,1,1,0,4,5,5,4,1,1,1,1,5,5,1,2,2,7,,Yes,Yes,,,,,
MU3Sec147,Control,18-Aug-23,19,Bangkok,Thailand,4,3,4,4,5,4,4,4,4,4,D,C,B,B,B,D,C,A,B,B,1,1,0,0,1,1,0,1,1,1,7,B,A,D,D,A,D,A,D,A,B,1,1,0,0,1,1,0,0,0,0,4,1,4,1,1,4,4,2,4,1,1,2,3,4,,Yes,No,,,,,
MU3Sec148,Experiment,18-Aug-23,19,Nakorn Pathom,Thailand,4,4,3,3,3,4,4,4,5,5,A,D,C,D,B,D,D,A,B,B,0,0,0,1,1,1,0,1,1,1,6,A,D,D,D,C,C,D,A,C,D,0,0,0,1,0,1,0,0,1,1,4,2,2,4,1,3,4,3,4,4,1,2,1,7,,No,Yes,,,,,
MU3Sec149,Control,18-Aug-23,19,Bangkok,Thailand,4,3,3,3,3,3,3,3,3,3,A,C,A,D,B,D,C,A,B,B,0,1,1,1,1,1,0,1,1,1,8,A,C,C,C,C,D,C,C,A,D,1,1,1,0,0,1,0,0,1,1,6,4,3,5,1,3,5,4,3,1,1,2,4,6,,Yes,Yes,,,,,
MU3Sec150,Experiment,18-Aug-23,22,Bangkok,Thailand,3,3,3,3,3,3,3,3,3,3,D,C,A,D,B,D,D,A,B,B,1,1,1,1,1,1,0,1,1,1,9,D,B,A,B,B,D,A,C,B,C,0,0,0,0,1,0,1,0,1,1,4,3,1,2,2,2,3,2,4,3,1,2,4,1,,Yes,No,,,,,
